Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.59,Industrial (Acidic Rain),0.1,0.043,0.1,5.0,0.001633,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.18,Rural (Freshwater),0.01,2.726,1.0,5.0,0.004376,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Marine (Seawater),5.0,2.379,2.0,1.0,0.119693,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Rural (Freshwater),0.01,2.544,2.0,1.0,0.003599,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.21,Marine (Seawater),5.0,0.194,1.0,10.0,0.003497,Compatible
Zinc,"Zinc, Zinc Coating",2,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.99,Industrial (Acidic Rain),0.1,0.805,0.1,2.0,0.06702,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.23,Rural (Freshwater),0.01,0.162,2.0,5.0,0.000315,Compatible
Cadmium,"Cadmium, Beryllium",3,Copper,"Copper-High Nickel, Monel",15,0.5,Industrial (Acidic Rain),0.1,0.753,0.1,1.0,0.032352,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.2,Rural (Freshwater),0.01,0.342,0.1,0.3,0.00061,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.79,Rural (Freshwater),0.01,0.711,5.0,10.0,0.004818,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Silver solder,Silver,18,0.09,Industrial (Acidic Rain),0.1,1.728,1.0,10.0,0.007338,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Lead,Lead,7,0.1,Marine (Seawater),5.0,4.228,5.0,0.3,0.079176,Compatible
Copper,"Copper-High Nickel, Monel",15,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.02,Marine (Seawater),5.0,1.38,1.0,1.0,0.011454,Compatible
Nickel (passive),"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.0,Industrial (Acidic Rain),0.1,3.74,2.0,1.0,0.0,Compatible
Zinc,"Zinc, Zinc Coating",2,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.99,Rural (Freshwater),0.01,0.384,0.1,2.0,0.003584,Unfavorable
Lead,Lead,7,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,0.311,0.3,1.0,0.009813,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.32,Rural (Freshwater),0.01,1.266,0.3,1.0,0.004228,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Copper,"Copper-High Nickel, Monel",15,0.3,Marine (Seawater),5.0,2.095,0.3,1.0,0.432513,Unfavorable
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Rural (Freshwater),0.01,0.733,0.3,2.0,0.002543,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Rural (Freshwater),0.01,0.052,0.3,5.0,0.000247,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.37,Rural (Freshwater),0.01,0.237,0.1,2.0,0.000829,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Industrial (Acidic Rain),0.1,2.472,0.3,0.3,0.030334,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Graphite,Graphite,20,0.36,Industrial (Acidic Rain),0.1,4.62,1.0,10.0,0.084501,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.88,Industrial (Acidic Rain),0.1,0.43,0.1,1.0,0.033489,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.64,Rural (Freshwater),0.01,1.296,0.1,5.0,0.00762,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Titanium,Titanium,17,0.1,Marine (Seawater),5.0,2.51,2.0,10.0,0.019661,Compatible
Nickel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Industrial (Acidic Rain),0.1,35.591,2.0,1.0,0.564779,Compatible
Magnesium and magnesium alloys,Magnesium,1,Silver,Silver,18,1.64,Industrial (Acidic Rain),0.1,0.909,0.1,10.0,0.071166,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Marine (Seawater),5.0,4.946,2.0,10.0,0.2303,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.34,Marine (Seawater),5.0,6.392,5.0,1.0,0.353834,Unfavorable
Lead,Lead,7,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.37,Industrial (Acidic Rain),0.1,2.901,0.3,5.0,0.071128,Compatible
Cadmium,"Cadmium, Beryllium",3,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.17,Rural (Freshwater),0.01,0.253,0.1,5.0,0.000398,Compatible
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Marine (Seawater),5.0,1.725,2.0,1.0,0.108861,Compatible
Cadmium,"Cadmium, Beryllium",3,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.13,Industrial (Acidic Rain),0.1,0.278,0.1,5.0,0.002316,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.05,Industrial (Acidic Rain),0.1,1.5,2.0,1.0,0.005733,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Silver,Silver,18,0.65,Rural (Freshwater),0.01,1.949,0.3,10.0,0.011895,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Marine (Seawater),5.0,0.388,1.0,5.0,0.001313,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Silver solder,Silver,18,0.47,Rural (Freshwater),0.01,0.122,0.3,10.0,0.000543,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.49,Rural (Freshwater),0.01,0.384,0.1,1.0,0.001879,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.18,Marine (Seawater),5.0,0.346,1.0,5.0,0.010245,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (passive),"Nickel, Cobalt",16,0.45,Industrial (Acidic Rain),0.1,4.244,5.0,2.0,0.111562,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.18,Industrial (Acidic Rain),0.1,11.321,2.0,1.0,0.14877,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Marine (Seawater),5.0,2.769,0.3,2.0,0.291011,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Silver,Silver,18,1.64,Industrial (Acidic Rain),0.1,0.781,0.1,10.0,0.066886,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Chlorimet 2,"Nickel, Cobalt",16,0.22,Marine (Seawater),5.0,0.376,0.3,2.0,0.033178,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.65,Industrial (Acidic Rain),0.1,1.536,0.1,2.0,0.085147,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Industrial (Acidic Rain),0.1,0.429,1.0,5.0,0.002588,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.02,Marine (Seawater),5.0,0.882,5.0,0.3,0.003263,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,0.086,0.3,1.0,0.002321,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Titanium,Titanium,17,0.24,Industrial (Acidic Rain),0.1,6.293,1.0,10.0,0.070878,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.53,Marine (Seawater),5.0,1.597,5.0,2.0,0.120256,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Rural (Freshwater),0.01,0.26,1.0,10.0,0.000347,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Rural (Freshwater),0.01,29.769,0.3,0.3,0.018298,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver,Silver,18,0.12,Marine (Seawater),5.0,0.144,5.0,10.0,0.001187,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Rural (Freshwater),0.01,1.529,0.1,2.0,0.010038,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Graphite,Graphite,20,0.31,Marine (Seawater),5.0,0.544,1.0,10.0,0.01656,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.16,Industrial (Acidic Rain),0.1,0.149,5.0,10.0,0.000983,Unfavorable
Lead,Lead,7,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.39,Industrial (Acidic Rain),0.1,2.619,0.3,5.0,0.062203,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.49,Industrial (Acidic Rain),0.1,2.557,0.1,1.0,0.123158,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.48,Marine (Seawater),5.0,0.852,5.0,5.0,0.042808,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.48,Marine (Seawater),5.0,0.711,0.3,10.0,0.034468,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.16,Marine (Seawater),5.0,1.518,0.1,5.0,0.050451,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Titanium,Titanium,17,0.18,Industrial (Acidic Rain),0.1,0.347,2.0,10.0,0.002755,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Rural (Freshwater),0.01,0.844,5.0,5.0,0.000301,Compatible
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,0.191,10.0,1.0,0.000166,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,2.191,1.0,2.0,0.135171,Compatible
Zinc,"Zinc, Zinc Coating",2,Nickel (active),"Nickel, Cobalt",16,0.68,Industrial (Acidic Rain),0.1,0.214,0.1,2.0,0.012355,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chlorimet 2,"Nickel, Cobalt",16,1.32,Rural (Freshwater),0.01,0.59,0.1,2.0,0.007596,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Steel or iron,"Steels-Carbon, Low Alloy",6,0.42,Marine (Seawater),5.0,0.639,0.1,0.3,0.449975,Unfavorable
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Marine (Seawater),5.0,2.056,0.3,0.3,0.123585,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Industrial (Acidic Rain),0.1,2.689,0.1,2.0,0.150137,Unfavorable
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.98,Rural (Freshwater),0.01,0.664,0.1,5.0,0.005913,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.48,Rural (Freshwater),0.01,12.618,0.1,0.3,0.064092,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.38,Rural (Freshwater),0.01,0.783,5.0,1.0,0.002945,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Silver solder,Silver,18,0.56,Industrial (Acidic Rain),0.1,2.22,0.1,10.0,0.062072,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Silver,Silver,18,0.32,Marine (Seawater),5.0,0.233,2.0,10.0,0.006038,Compatible
Zinc,"Zinc, Zinc Coating",2,Lead,Lead,7,0.56,Industrial (Acidic Rain),0.1,0.541,0.1,0.3,0.026692,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Nickel (passive),"Nickel, Cobalt",16,0.03,Industrial (Acidic Rain),0.1,11.208,1.0,2.0,0.025745,Compatible
Zinc,"Zinc, Zinc Coating",2,Chlorimet 2,"Nickel, Cobalt",16,0.75,Rural (Freshwater),0.01,0.628,0.1,2.0,0.004427,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Marine (Seawater),5.0,4.472,1.0,5.0,0.061929,Compatible
Nickel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Industrial (Acidic Rain),0.1,12.195,2.0,5.0,0.193411,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,1.407,1.0,2.0,0.001957,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.26,Rural (Freshwater),0.01,1.644,0.3,2.0,0.004057,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.49,Industrial (Acidic Rain),0.1,3.536,2.0,10.0,0.080324,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.02,Marine (Seawater),5.0,0.673,5.0,5.0,0.00131,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Inconel (active),"Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,1.297,5.0,2.0,0.016704,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.83,Industrial (Acidic Rain),0.1,0.707,0.3,10.0,0.027791,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Marine (Seawater),5.0,3.104,1.0,10.0,0.083588,Compatible
Cadmium,"Cadmium, Beryllium",3,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.15,Marine (Seawater),5.0,0.786,0.1,0.3,0.196948,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Graphite,Graphite,20,0.68,Marine (Seawater),5.0,1.9,0.3,10.0,0.118867,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.35,Rural (Freshwater),0.01,0.816,0.3,1.0,0.002716,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.18,Rural (Freshwater),0.01,5.566,5.0,10.0,0.008615,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Industrial (Acidic Rain),0.1,0.473,0.3,2.0,0.010248,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.61,Industrial (Acidic Rain),0.1,5.274,5.0,10.0,0.130212,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.26,Rural (Freshwater),0.01,0.52,2.0,10.0,0.001162,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Inconel (active),"Nickel, Cobalt",16,0.38,Industrial (Acidic Rain),0.1,3.038,0.1,2.0,0.088631,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.15,Industrial (Acidic Rain),0.1,0.282,0.1,0.3,0.003849,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,3.531,5.0,2.0,0.047498,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Chlorimet 2,"Nickel, Cobalt",16,0.42,Rural (Freshwater),0.01,0.401,0.1,2.0,0.001624,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Zinc,"Zinc, Zinc Coating",2,0.57,Industrial (Acidic Rain),0.1,0.507,0.1,0.1,0.026986,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Industrial (Acidic Rain),0.1,0.195,2.0,1.0,0.001825,Compatible
Cadmium,"Cadmium, Beryllium",3,Chlorimet 2,"Nickel, Cobalt",16,0.42,Industrial (Acidic Rain),0.1,1.416,0.1,2.0,0.047214,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.01,Rural (Freshwater),0.01,0.884,1.0,10.0,8.3e-05,Compatible
Zinc,"Zinc, Zinc Coating",2,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.8,Industrial (Acidic Rain),0.1,13.761,0.1,1.0,0.965949,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.34,Rural (Freshwater),0.01,0.129,0.3,5.0,0.000384,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Industrial (Acidic Rain),0.1,2.628,5.0,1.0,0.051858,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (passive),"Nickel, Cobalt",16,0.41,Industrial (Acidic Rain),0.1,0.114,5.0,2.0,0.002619,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.03,Marine (Seawater),5.0,3.209,1.0,1.0,0.043944,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Marine (Seawater),5.0,2.578,0.3,0.3,0.363795,Compatible
Cadmium,"Cadmium, Beryllium",3,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.17,Marine (Seawater),5.0,7.72,0.1,5.0,0.254962,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Titanium,Titanium,17,0.41,Rural (Freshwater),0.01,0.168,2.0,10.0,0.000633,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.43,Industrial (Acidic Rain),0.1,1.705,0.3,1.0,0.061824,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Marine (Seawater),5.0,0.509,2.0,1.0,0.022284,Compatible
Lead,Lead,7,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,0.024,0.3,1.0,0.000733,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.77,Rural (Freshwater),0.01,5.511,0.3,10.0,0.037322,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.32,Marine (Seawater),5.0,1.289,5.0,10.0,0.026729,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,6.13,1.0,1.0,0.010094,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Industrial (Acidic Rain),0.1,0.815,2.0,2.0,0.003071,Compatible
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Marine (Seawater),5.0,0.474,0.3,0.3,0.031179,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Rural (Freshwater),0.01,0.238,2.0,1.0,0.000329,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Rural (Freshwater),0.01,0.275,5.0,0.3,8e-05,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Industrial (Acidic Rain),0.1,0.061,5.0,1.0,0.001292,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.34,Rural (Freshwater),0.01,15.211,0.3,5.0,0.044242,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Marine (Seawater),5.0,1.733,1.0,10.0,0.026974,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Inconel (active),"Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,4.526,0.1,2.0,0.0182,Unfavorable
Copper,"Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.05,Industrial (Acidic Rain),0.1,1.294,1.0,1.0,0.005852,Compatible
Zinc,"Zinc, Zinc Coating",2,Silver,Silver,18,1.07,Marine (Seawater),5.0,0.654,0.1,10.0,0.067917,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.12,Marine (Seawater),5.0,6.521,1.0,5.0,0.112989,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Rural (Freshwater),0.01,1.042,1.0,5.0,0.000931,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.65,Marine (Seawater),5.0,3.581,0.1,2.0,0.955704,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.57,Marine (Seawater),5.0,1.478,0.3,2.0,0.359322,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.46,Rural (Freshwater),0.01,2.485,0.1,5.0,0.01005,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Rural (Freshwater),0.01,0.383,0.3,5.0,0.000278,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.1,Marine (Seawater),5.0,0.932,2.0,1.0,0.028203,Compatible
